,StartingLongitude,StartingLatitude,EndingLongitude,EndingLatitude,StartingtimeStampInMS,EndtimeStampInMS,ActivityType,Distance,User
167,218927061,513227132,218874845,513240572,1641482193481,1641483280973,WALKING,1379,User3
168,218877270,513241097,218985759,513228029,1641556045416,1641556786144,WALKING,888,User3
169,218998951,513225517,218874988,513241925,1641557390012,1641559900173,WALKING,1810,User3
170,218904110,513246047,218791212,513261783,1641644831396,1641645565681,WALKING,850,User3
171,218794735,513260890,218857851,513244553,1641646053855,1641646416797,WALKING,475,User3
172,218856852,513245705,208994239,522406847,1641718276000,1641725582000,IN_PASSENGER_VEHICLE,156788,User3
173,208991573,522407325,208994923,522404865,1641747391178,1641749317966,WALKING,2837,User3
174,209000052,522409171,210097545,522198735,1641796758000,1641799140893,IN_BUS,8973,User3
175,210073548,522216013,210161787,522166902,1641818728067,1641819570683,WALKING,885,User3
176,210167579,522170551,210145093,522182699,1641825282006,1641825402554,WALKING,204,User3
177,210154360,522188137,210081104,522217324,1641827342191,1641827830998,WALKING,618,User3
178,210065659,522221504,209000058,522404744,1641832825229,1641835208334,IN_BUS,8205,User3
179,209004601,522404526,208987161,522400040,1641910909764,1641911030211,WALKING,128,User3
180,208980641,522390680,210097249,522199635,1641911516107,1641913198468,IN_BUS,8580,User3
181,210096304,522201856,209416757,522396998,1641919913503,1641921406464,IN_SUBWAY,5817,User3
182,209415800,522394200,208950500,522398000,1641921767422,1641922492118,IN_BUS,3189,User3
183,208962546,522400307,208999911,522405332,1641922492118,1641922739407,WALKING,263,User3
184,208996523,522415192,209067363,522457768,1641984485006,1641985109460,WALKING,932,User3
185,209061704,522457107,209003223,522412365,1641989765105,1641990632037,WALKING,973,User3
186,209004680,522404354,208983842,522398901,1641997791231,1641997911595,WALKING,154,User3
187,208981198,522398924,210064661,522219462,1641998206727,1642000188691,IN_BUS,7832,User3
