,Longitude,Latitude,TimeStampInMS,User
332,212028102,523254432,1640977764190.375,User1
333,211978416,523252792,1640978059360.125,User1
334,211932579,523259539,1640977026266,User1
335,211972697,523253773,1640978206945,User1
336,209009056,522409058,1639998165511,User3
337,209009113,522415847,1639998205363.1,User3
338,209009113,522415847,1639998325343.3,User3
339,209009113,522415847,1639998445323.5,User3
340,209045314,522419509,1639998565303.7,User3
341,209066333,522444839,1639998685283.9,User3
342,209007721,522408458,1639998145373,User3
343,209066523,522444855,1639998745274,User3
344,209066505,522440071,1640003860008.5,User3
345,209065475,522418746,1640004135843.5,User3
346,208997745,522419013,1640004411678.5,User3
347,209066802,522440081,1640003722091,User3
348,209004928,522410968,1640004549596,User3
349,209060020,522398224,1640014494704,User3
350,209073143,522399025,1640014577359,User3
351,209074612,522398872,1640014705950,User3
352,209087772,522405815,1640014879327,User3
353,208994293,522405052,1640014149335.1365,User3
354,209027671,522392959,1640014182227.4092,User3
355,209060287,522395362,1640014215119.682,User3
356,209066448,522394905,1640014248011.9546,User3
357,209074573,522394294,1640014280904.2273,User3
358,209081649,522396049,1640014313796.5,User3
359,209082088,522398338,1640014346688.7727,User3
360,209082927,522402648,1640014379581.0454,User3
361,209083995,522408180,1640014412473.318,User3
362,209065475,522418746,1640014445365.5908,User3
363,209003334,522422637,1640014478257.8635,User3
364,208997671,522404823,1640014132889,User3
365,209060018,522398236,1640014494704,User3
366,209083595,522406120,1640014982728.6667,User3
367,209065475,522418746,1640015189532.0,User3
368,208998184,522421340,1640015396335.3333,User3
369,209087780,522405820,1640014879327,User3
370,208998500,522421321,1640015499737,User3
371,208917713,522317467,1640102250428,User3
372,208980503,522324524,1640102667467,User3
373,208985729,522315063,1640102789018,User3
374,209037151,522379608,1640102909340,User3
375,209046078,522360992,1640103150772,User3
376,208996887,522372169,1640103392251,User3
377,208994712,522407226,1640101487150.3572,User3
378,208960113,522395210,1640101655227.0715,User3
379,208917713,522317657,1640101823303.7856,User3
380,208968830,522319259,1640101991380.5,User3
381,208979854,522320823,1640102159457.2144,User3
382,208991355,522318916,1640102327533.9285,User3
383,208985271,522312774,1640102495610.6428,User3
384,209036769,522377433,1640102663687.3572,User3
385,209041194,522369728,1640102831764.0715,User3
386,209045124,522360191,1640102999840.7856,User3
387,209037113,522364959,1640103167917.5,User3
388,208993854,522372093,1640103335994.2144,User3
389,208985805,522388648,1640103504070.9285,User3
390,209020824,522402877,1640103672147.6428,User3
391,208996662,522407086,1640101403112,User3
392,209008914,522403851,1640103756186,User3
393,208994293,522405090,1640162317833.3333,User3
394,208993396,522400588,1640162343500.0,User3
395,208993091,522399063,1640162369166.6667,User3
396,209003912,522404396,1640162305000,User3
397,208992888,522399081,1640162382000,User3
398,208977000,522395771,1640162734364,User3
399,209035656,522400133,1640162862167,User3
400,209168687,522397883,1640162983343,User3
401,209301510,522407888,1640163129497,User3
402,209403675,522393183,1640163309224,User3
403,209990649,522322184,1640164290697,User3
404,210014462,522278485,1640164531114,User3
405,208977000,522395771,1640162734364,User3
406,210019649,522266094,1640164655273,User3
407,210020972,522278442,1640169696435,User3
408,210032800,522282104,1640169838517,User3
409,209416490,522392230,1640170825466,User3
410,209414625,522397913,1640170918449,User3
411,209151247,522386904,1640171299364,User3
412,208993405,522397890,1640171541081,User3
413,208977972,522406722,1640171661187,User3
414,210020183,522265601,1640169575760,User3
415,209008112,522404482,1640171781189,User3
416,208995933,522413215,1640248573166.6667,User3
417,209131164,522392578,1640248785500.0,User3
418,209135837,522392959,1640248997833.3333,User3
419,208997551,522413108,1640248467000,User3
420,209135453,522394734,1640249104000,User3
421,209127898,522398917,1640250807832,User3
422,209114418,522377053,1640250928932,User3
423,209142939,522400092,1640251169371,User3
424,209148533,522342371,1640251290770,User3
425,209127898,522398917,1640250807832,User3
426,209148635,522292815,1640251411027,User3
427,208986754,522285881,1640253830111,User3
428,208966623,522297200,1640253952212,User3
429,208971072,522356308,1640254075839,User3
430,208985907,522399302,1640254197260,User3
431,208973647,522398554,1640254318465,User3
432,208986932,522404414,1640254438724,User3
433,209145536,522291623,1640253578014,User3
434,209007058,522407806,1640254558978,User3
435,208988285,522334976,1640270999815,User3
436,209060822,522368431,1640271360856,User3
437,209054985,522376709,1640271484696,User3
438,208994426,522405776,1640270393590.0625,User3
439,208993301,522395401,1640270635510.1875,User3
440,208988609,522336845,1640270877430.3125,User3
441,209052371,522366523,1640271119350.4375,User3
442,209058818,522369232,1640271361270.5625,User3
443,209060344,522370681,1640271603190.6875,User3
444,209052295,522376899,1640271845110.8125,User3
445,209005985,522416076,1640272087030.9375,User3
446,209004242,522405052,1640270272630,User3
447,209005037,522411226,1640272207991,User3
448,208994407,522405662,1640338457961.8333,User3
449,208983650,522421646,1640338506585.5,User3
450,208993930,522423362,1640338555209.1667,User3
451,208994832,522405618,1640338433650,User3
452,208994135,522424465,1640338579521,User3
453,209060111,522417569,1640339044250,User3
454,209125714,522419467,1640339179288,User3
